epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8423848748207092,0.3604973554611206,0.001,0.9502180218696594,0.1390455663204193
1,0.9432385563850403,0.18423330783843994,0.001,0.9607483744621277,0.1500948816537857
2,0.9463717937469482,0.17580825090408325,0.001,0.9574854373931885,0.14212198555469513
3,0.9478703141212463,0.16596496105194092,0.001,0.9589389562606812,0.15321192145347595
4,0.9564980268478394,0.13344638049602509,0.00020000001,0.9542151093482971,0.13954858481884003
5,0.9592680335044861,0.12928876280784607,0.00020000001,0.9582121968269348,0.12332436442375183
6,0.9600417017936707,0.12664516270160675,0.00020000001,0.9585756063461304,0.12003335356712341
7,0.9594496488571167,0.12477687746286392,0.00020000001,0.9549418687820435,0.13678336143493652
8,0.9587264060974121,0.1252128630876541,0.00020000001,0.9593023061752319,0.11254379153251648
9,0.9599037170410156,0.12553845345973969,0.00020000001,0.9600290656089783,0.1294161081314087
